userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Muhammad Fadilah,5,"tolong lah,soal penganteran makanannya lahh, tolong!!",2026-03-22 15:41:37,tolong lahsoal penganteran makanannya lahh tolong,positif,tolong lah soal penganteran makanannya lahh tolong,tolong lah soal penganteran makanannya lahh tolong,tolong lah soal pengantrean makanannya lah tolong,lah soal pengantrean makanannya lah
Yayu Siti akbari,5,sangat nyaman,2026-03-22 15:38:54,sangat nyaman,positif,sangat nyaman,sangat nyaman,sangat nyaman,sangat nyaman
Muhamad Rizki,2,lama pengantaran nya,2026-03-22 15:36:04,lama pengantaran nya,negatif,lama pengantaran nya,lama pengantaran nya,lama pengantaran nya,lama pengantaran
Nada Nasrina,5,baik,2026-03-22 15:28:45,baik,positif,baik,baik,baik,baik
Pingu Cream,1,"kalo gak ketemu driver nya bisa batalin aja stres,jadi nunggu apaan dah ni gua,nunggu harapan,jadi laper banget ni gw kocak,mending pindah ke grab aja",2026-03-22 15:21:51,kalo gak ketemu driver nya bisa batalin aja stresjadi nunggu apaan dah ni guanunggu harapanjadi laper banget ni gw kocakmending pindah ke grab aja,negatif,kalo gak ketemu driver nya bisa batalin aja jadi nunggu apaan dah gua nunggu harapan jadi laper banget kocak mending pindah grab aja,kalo gak ketemu driver nya bisa batalin aja jadi nunggu apaan dah gua nunggu harapan jadi laper banget kocak mending pindah grab aja,kalo enggak ketemu driver nya bisa batalion saja jadi menunggu apaan deh gua menunggu harapan jadi laper banget kocak mending pindah grab saja,enggak ketemu driver bisa batalion saja jadi menunggu apaan menunggu harapan jadi laper kocak mending pindah grab saja
Jamal Muqadar,1,"pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver, harus diperbaiki lagi sangat buruk",2026-03-22 15:19:10,pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver harus diperbaiki lagi sangat buruk,negatif,pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver harus diperbaiki lagi sangat buruk,pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver harus diperbaiki lagi sangat buruk,pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver harus diperbaiki lagi sangat buruk,pembeli tidak bisa membatalkan pesanan ketika menunggu terlalu lama terutama ketika masih mencari driver harus diperbaiki lagi sangat buruk
Marimas Manis,5,trimakasih atas kepercayaan nya gojek,2026-03-22 15:17:36,trimakasih atas kepercayaan nya gojek,positif,trimakasih atas kepercayaan nya gojek,trimakasih atas kepercayaan nya gojek,trimakasih atas kepercayaan nya gojek,trimakasih atas kepercayaan gojek
Rifqi Ferry,1,"pembatalan yng tidak menyenangkan, sudah menunggu satu jam di batalkan tanpa memberi solusi ataupun tawaran pickup... sangat kecewa buruknya pelayanan ini!!!",2026-03-22 15:16:20,pembatalan yng tidak menyenangkan sudah menunggu satu jam di batalkan tanpa memberi solusi ataupun tawaran pickup sangat kecewa buruknya pelayanan ini,negatif,pembatalan tidak menyenangkan sudah menunggu satu jam batalkan tanpa memberi solusi ataupun tawaran pickup sangat kecewa buruknya pelayanan ini,pembatalan tidak menyenangkan sudah menunggu satu jam batalkan tanpa memberi solusi ataupun tawaran pickup sangat kecewa buruknya pelayanan ini,pembatalan tidak menyenangkan sudah menunggu satu jam batalkan tanpa memberi solusi ataupun tawaran pikup sangat kecewa buruknya pelayanan ini,pembatalan tidak menyenangkan sudah menunggu satu jam batalkan tanpa memberi solusi ataupun tawaran pikup sangat kecewa buruknya pelayanan ini
Anan Manda,1,"heh developer, Iki aku user, tak kandani potongan mu 20% ilangi, Ben aku rak kangelan ntuk driver, pesen kfc oq ngase 2 jam, rak ngutek",2026-03-22 15:13:39,heh developer iki aku user tak kandani potongan mu ilangi ben aku rak kangelan ntuk driver pesen kfc oq ngase jam rak ngutek,negatif,heh developer iki aku user tak kandani potongan ilangi ben aku rak kangelan ntuk driver pesen ngase jam rak ngutek,heh developer iki aku user tak kandani potongan ilangi ben aku rak kangelan ntuk driver pesen ngase jam rak ngutek,heh developer iki aku user tak kandani potongan langi ben aku rak kangean ntuk driver pesan ngase jam rak ngutek,heh developer iki aku user tak kandani potongan langi ben aku rak kangean ntuk driver pesan ngase jam rak ngutek
Mhd Arya S Dalimunt,1,gak senggaja ke pesan malah gak bisah di batalin,2026-03-22 15:12:07,gak senggaja ke pesan malah gak bisah di batalin,negatif,gak senggaja pesan malah gak bisah batalin,gak senggaja pesan malah gak bisah batalin,enggak sengaja pesan malah enggak biksah batalion,enggak sengaja pesan malah enggak biksah batalion
Cindy Wardahny,1,pesan makan lama driver ny laama terima pesanan nya,2026-03-22 15:01:26,pesan makan lama driver ny laama terima pesanan nya,negatif,pesan makan lama driver laama terima pesanan nya,pesan makan lama driver laama terima pesanan nya,pesan makan lama driver laama terima pesanan nya,pesan makan lama driver laama terima pesanan
Nasiah Nas,5,bisa bantu saya kemana mana,2026-03-22 15:00:43,bisa bantu saya kemana mana,positif,bisa bantu saya kemana mana,bisa bantu saya kemana mana,bisa bantu saya kemana mana,bisa bantu saya kemana mana
Cut Aini,5,perfect,2026-03-22 15:00:39,perfect,positif,perfect,perfect,perfect,perfect
Bagus Triya,1,lemot,2026-03-22 15:00:28,lemot,negatif,lemot,lemot,lemot,lemot
Kamsiruddin Rudy,5,mantap,2026-03-22 14:55:39,mantap,positif,mantap,mantap,mantap,mantap
Faishal Hariz,5,"gini kk saya selalu make gojek krna aplikasi nya emg bagus tp jg SARAN DARI SAYA klo bisa di GOFOOD KHUSUSNYA jgn klo makanan nya udh siap tp driver nya ngga ada kk ini saya pesen dari jam 20 44 sampai jam 21 40 Masi belum Dateng hampir sejam an nunggu cm buat makan malam doang, saran saya mending dibuat kyk dlu aja jadi driver nya udh ketemu trus otw ke resto. sy harap jgn terulang lg yg kayak gini. Ttp semangatt buat gojek kedepannya 😁🤝",2026-03-22 14:51:23,gini kk saya selalu make gojek krna aplikasi nya emg bagus tp jg saran dari saya klo bisa di gofood khususnya jgn klo makanan nya udh siap tp driver nya ngga ada kk ini saya pesen dari jam sampai jam masi belum dateng hampir sejam an nunggu cm buat makan malam doang saran saya mending dibuat kyk dlu aja jadi driver nya udh ketemu trus otw ke resto sy harap jgn terulang lg yg kayak gini ttp semangatt buat gojek kedepannya,positif,gini saya selalu make gojek krna aplikasi nya emg bagus saran dari saya klo bisa gofood khususnya klo makanan nya udh siap driver nya ngga ada ini saya pesen dari jam sampai jam masi belum dateng hampir sejam nunggu buat makan malam doang saran saya mending dibuat dlu aja jadi driver nya udh ketemu trus otw resto harap terulang kayak gini semangatt buat gojek kedepannya,gini saya selalu make gojek krna aplikasi nya emg bagus saran dari saya klo bisa gofood khususnya klo makanan nya udh siap driver nya ngga ada ini saya pesen dari jam sampai jam masi belum dateng hampir sejam nunggu buat makan malam doang saran saya mending dibuat dlu aja jadi driver nya udh ketemu trus otw resto harap terulang kayak gini semangatt buat gojek kedepannya,begini saya selalu memakai gojek karena aplikasi nya memang bagus saran dari saya kalo bisa gofood khususnya kalo makanan nya sudah siap driver nya enggak ada ini saya pesan dari jam sampai jam masih belum datang hampir sejam menunggu buat makan malam doang saran saya mending dibuat dulu saja jadi driver nya sudah ketemu terus otw resto harap terulang kayak begini semangat buat gojek kedepannya,begini saya selalu memakai gojek karena aplikasi memang bagus saran saya bisa gofood khususnya makanan sudah siap driver enggak ada ini saya pesan jam sampai jam masih belum datang hampir sejam menunggu buat makan malam saran saya mending dibuat dulu saja jadi driver sudah ketemu terus otw resto harap terulang kayak begini semangat buat gojek kedepannya
Dewa Ariawan,1,tidak bisa beli pulsa ini rusak ya apa eror mau kode virtual accoun nya juga gk mau muncul udah pembelian ke 5 tetap gagal dalam proses,2026-03-22 14:49:57,tidak bisa beli pulsa ini rusak ya apa eror mau kode virtual accoun nya juga gk mau muncul udah pembelian ke tetap gagal dalam proses,negatif,tidak bisa beli pulsa ini rusak apa eror mau kode virtual accoun nya juga gk mau muncul udah pembelian 5 tetap gagal dalam proses,tidak bisa beli pulsa ini rusak apa eror mau kode virtual accoun nya juga gk mau muncul udah pembelian 5 tetap gagal dalam proses,tidak bisa beli pulsa ini rusak apa eror mau kode virtual accoun nya juga tidak mau muncul sudah pembelian lima tetap gagal dalam proses,tidak bisa beli pulsa ini rusak apa mau kode virtual accoun tidak mau muncul sudah pembelian lima tetap gagal dalam proses
R3P Channel,1,susah dapet driver kalau menggunakan gocar atau gobike suka di cancel sama driver pas order gofood,2026-03-22 14:43:13,susah dapet driver kalau menggunakan gocar atau gobike suka di cancel sama driver pas order gofood,negatif,susah dapet driver kalau menggunakan gocar atau gobike suka cancel sama driver pas order gofood,susah dapet driver kalau menggunakan gocar atau gobike suka cancel sama driver pas order gofood,susah dapat driver kalau menggunakan gocar atau gobike suka cancel sama driver pas order gofood,susah dapat driver kalau menggunakan gocar atau gobike suka cancel sama driver pas gofood
Asep Ridwan,4,kemaren uninstal hari ini instal lagi tapi mau log in susah katanya masalah jaringan.. pas buka aplikasi sebelah malah lancar,2026-03-22 14:28:48,kemaren uninstal hari ini instal lagi tapi mau log in susah katanya masalah jaringan pas buka aplikasi sebelah malah lancar,positif,kemaren uninstal hari ini instal lagi tapi mau log susah katanya masalah jaringan pas buka aplikasi sebelah malah lancar,kemaren uninstal hari ini instal lagi tapi mau log susah katanya masalah jaringan pas buka aplikasi sebelah malah lancar,kemarin uninstal hari ini istal lagi tapi mau log susah katanya masalah jaringan pas buka aplikasi sebelah malah lancar,kemarin uninstal hari ini istal lagi tapi mau log susah katanya masalah jaringan pas buka aplikasi sebelah malah lancar
i w a L,1,"Baru kali ini rasa lumayan kecewa, saya dah rela nungguin beberapa jam, ujung""nya gada driver yang ngambil, saya tau ini lebaran cuman c'mon, emang semuanya muslim kah? mungkin ada beberapa yang ga ikut lebaran dan bisa antar mengantar di gojek dibagian gofood..?, gatau deh gimana lagi, dah beberapa tahun make aplikasi ini juga kurang, dulu juga pas gocar 7-8 kali gada yang dapet , padahal sesuai harga juga dan banyak drivernya juga",2026-03-22 14:21:59,baru kali ini rasa lumayan kecewa saya dah rela nungguin beberapa jam ujungnya gada driver yang ngambil saya tau ini lebaran cuman cmon emang semuanya muslim kah mungkin ada beberapa yang ga ikut lebaran dan bisa antar mengantar di gojek dibagian gofood gatau deh gimana lagi dah beberapa tahun make aplikasi ini juga kurang dulu juga pas gocar kali gada yang dapet padahal sesuai harga juga dan banyak drivernya juga,negatif,baru kali ini rasa lumayan kecewa saya dah rela nungguin beberapa jam ujung nya gada driver yang ngambil saya tau ini lebaran cuman mon emang semuanya muslim kah mungkin ada beberapa yang ga ikut lebaran dan bisa antar mengantar gojek dibagian gofood gatau deh gimana lagi dah beberapa tahun make aplikasi ini juga kurang dulu juga pas gocar kali gada yang dapet padahal sesuai harga juga dan banyak drivernya juga,baru kali ini rasa lumayan kecewa saya dah rela nungguin beberapa jam ujung nya gada driver yang ngambil saya tau ini lebaran cuman mon emang semuanya muslim kah mungkin ada beberapa yang ga ikut lebaran dan bisa antar mengantar gojek dibagian gofood gatau deh gimana lagi dah beberapa tahun make aplikasi ini juga kurang dulu juga pas gocar kali gada yang dapet padahal sesuai harga juga dan banyak drivernya juga,baru kali ini rasa lumayan kecewa saya deh rela menunggu beberapa jam ujung nya enggak ada driver yang ngambil saya tau ini lebaran cuman mon memang semuanya muslim kah mungkin ada beberapa yang tidak ikut lebaran dan bisa antar mengantar gojek dibagikan gofood enggak tau deh bagaimana lagi deh beberapa tahun memakai aplikasi ini juga kurang dulu juga pas gocar kali enggak ada yang dapat padahal sesuai harga juga dan banyak drivernya juga,baru kali ini rasa lumayan kecewa saya rela menunggu beberapa jam ujung enggak ada driver yang ngambil saya ini lebaran mon memang semuanya muslim kah mungkin ada beberapa yang tidak ikut lebaran dan bisa antar mengantar gojek dibagikan gofood enggak bagaimana lagi beberapa tahun memakai aplikasi ini kurang dulu pas gocar kali enggak ada yang dapat sesuai harga dan banyak drivernya
Ivan Febryansyah Ridwan,1,Force Close mulu ga jelas,2026-03-22 14:19:22,force close mulu ga jelas,negatif,force close mulu ga jelas,force close mulu ga jelas,force closet mulu tidak jelas,force closet tidak jelas
Friska Chelsea,1,"mau batalin pesanan aja gak bisa, ujung2nya gak ada juga drivernya..dasar aplikasi sampah",2026-03-22 14:14:24,mau batalin pesanan aja gak bisa ujungnya gak ada juga drivernyadasar aplikasi sampah,negatif,mau batalin pesanan aja gak bisa gak ada juga drivernya dasar aplikasi sampah,mau batalin pesanan aja gak bisa gak ada juga drivernya dasar aplikasi sampah,mau batalion pesanan saja enggak bisa enggak ada juga drivernya dasar aplikasi sampah,mau batalion pesanan saja enggak bisa enggak ada drivernya dasar aplikasi sampah
Muhammad firmansyah,5,mantap,2026-03-22 14:13:15,mantap,positif,mantap,mantap,mantap,mantap
Yudi Jamaludin,2,"susah dapet driver siktaran bnjran kab bandung, pdhal apk lain aman² aja",2026-03-22 14:13:05,susah dapet driver siktaran bnjran kab bandung pdhal apk lain aman aja,negatif,susah dapet driver siktaran kab bandung apk lain aman aja,susah dapet driver siktaran kab bandung apk lain aman aja,susah dapat driver siktaran kab bandung aplikasi lain aman saja,susah dapat driver siktaran kab bandung aplikasi lain aman saja
Alhae_tami Ronvian,3,"yang bener aja, ga usah banyak potongan ke driver nya jadi susah kan nyari driver. gimana sih",2026-03-22 14:12:06,yang bener aja ga usah banyak potongan ke driver nya jadi susah kan nyari driver gimana sih,netral,yang bener aja ga usah banyak potongan driver nya jadi susah kan nyari driver gimana sih,yang bener aja ga usah banyak potongan driver nya jadi susah kan nyari driver gimana sih,yang benar saja tidak usah banyak potongan driver nya jadi susah kan mencari driver bagaimana sih,yang benar saja tidak usah banyak potongan driver jadi susah kan mencari driver bagaimana
Ramliati Maccini,1,"ampunG pesan go-food 3X tidak ada driver, tutup akun aja ☹️",2026-03-22 14:02:30,ampung pesan gofood x tidak ada driver tutup akun aja,negatif,ampung pesan food tidak ada driver tutup akun aja,ampung pesan food tidak ada driver tutup akun aja,ampung pesan food tidak ada driver tutup akun saja,ampung pesan food tidak ada driver tutup akun saja
Raka Aditya Saputra,1,"susah bat dah dapetin driver elah cape bat, kalo ga niat kerja gausah di kasi kesempatan lah",2026-03-22 14:02:18,susah bat dah dapetin driver elah cape bat kalo ga niat kerja gausah di kasi kesempatan lah,negatif,susah bat dah dapetin driver elah cape bat kalo ga niat kerja gausah kasi kesempatan lah,susah bat dah dapetin driver elah cape bat kalo ga niat kerja gausah kasi kesempatan lah,susah banget deh mendapatkan driver elah capek banget kalo tidak niat kerja enggak usah kasih kesempatan lah,susah mendapatkan driver elah capek tidak niat kerja enggak usah kasih kesempatan lah
Yahya Ayyash,1,"susah bgt dapet driver, sekalinya dapet malah ga gerak sama sekali udh nunggu sampe sejam lebih... payah ah gojek",2026-03-22 14:01:21,susah bgt dapet driver sekalinya dapet malah ga gerak sama sekali udh nunggu sampe sejam lebih payah ah gojek,negatif,susah dapet driver sekalinya dapet malah ga gerak sama sekali udh nunggu sampe sejam lebih payah gojek,susah dapet driver sekalinya dapet malah ga gerak sama sekali udh nunggu sampe sejam lebih payah gojek,susah dapat driver sekalinya dapat malah tidak gerak sama sekali sudah menunggu sampai sejam lebih payah gojek,susah dapat driver sekalinya dapat malah tidak gerak sama sekali sudah menunggu sampai sejam lebih payah gojek
